ChEMBL ID,Smiles,IC50 (nM),pIC50
CHEMBL2322162,COC(=O)C1CCC(COc2ccc(-c3ccnc(N)n3)cc2C#N)CC1,10,8
CHEMBL2322146,N#Cc1cc(-c2cc(O)nc(N)n2)ccc1OCC1CCCCC1,10,8
CHEMBL2322163,N#Cc1cc(-c2ccnc(N)n2)ccc1OCC1CCC(C(=O)O)CC1,10,8
CHEMBL3331623,CCC(C)Oc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,10.4,7.982966661
CHEMBL4205230,CN(C)c1ccc(-n2cc(C(=O)O)cn2)cc1C#N,10.8,7.966576245
CHEMBL2322171,N#Cc1cc(-c2cc(O)nc(N)n2)ccc1OCc1ccc(F)cc1C(F)(F)F,11,7.958607315
CHEMBL2322166,CC(C)C(C)Oc1ccc(-c2cc(O)nc(N)n2)cc1C#N,13,7.886056648
CHEMBL3331614,CCCCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,13.2,7.879426069
CHEMBL3331622,Cc1nc(-c2ccc(OCC3CC3)c(C#N)c2)[se]c1C(=O)O,13.3,7.876148359
CHEMBL4208654,Cc1nn(-c2ccc(N3CCCCC3)c(C#N)c2)cc1C(=O)O,13.3,7.876148359
CHEMBL440197,CCCCOc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,15,7.823908741
CHEMBL2322148,COC(=O)C(C)(C)COc1ccc(-c2cc(O)nc(N)n2)cc1C#N,15,7.823908741
CHEMBL3331621,Cc1nc(-c2ccc(OC(C)C)c(C#N)c2)[se]c1C(=O)O,15.7,7.804100348
CHEMBL3331611,C=CCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1[N+](=O)[O-],16.1,7.793174124
CHEMBL3331620,CCCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,16.2,7.790484985
CHEMBL1082212,COc1ccc(-c2n[nH]c(-c3ccnc(C)c3)n2)cc1[N+](=O)[O-],17,7.769551079
CHEMBL2322145,N#Cc1cc(-c2cc(O)nc(N)n2)ccc1OCC1CCC1,18,7.744727495
CHEMBL1078560,N#Cc1cc(-c2n[nH]c(-c3ccnc(C#N)c3)n2)ccn1,18,7.744727495
CHEMBL4469027,C=C(C)COc1ccc(-c2ncc(C(=O)O)c(=N)[nH]2)cc1C#N,18.1,7.742321425
CHEMBL2322144,CC(C)(C)c1ccc(COc2ccc(-c3cc(O)nc(N)n3)cc2C#N)cc1,19,7.721246399
CHEMBL2322152,COC(=O)C1CCC(COc2ccc(-c3cc(O)nc(N)n3)cc2C#N)CC1,19,7.721246399
CHEMBL3274325,N#Cc1nc(-c2ccncc2)[nH]c1C#N,20,7.698970004
CHEMBL171584,CCCCCCCCOc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,21,7.677780705
CHEMBL4212094,Cc1nn(-c2ccc(OCC(C)(C)C)c(C#N)c2)cc1C(=O)O,23,7.638272164
CHEMBL4445985,CC(C)CCOc1ccc(-c2ncc(C(=O)O)c(=N)[nH]2)cc1C#N,24,7.619788758
CHEMBL1077386,CC(C)COc1ccc(-c2n[nH]c(-c3ccncc3)n2)cn1,24,7.619788758
CHEMBL3331613,CCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,24.8,7.605548319
CHEMBL4449922,CC(C)CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1C#N,25,7.602059991
CHEMBL3276845,Cc1cccc(-c2cnn3c(O)cc(O)nc23)c1,25,7.602059991
CHEMBL3277223,Oc1cc(O)n2ncc(-c3cccc4ccccc34)c2n1,25,7.602059991
CHEMBL4783962,CC(C)CN(C)c1ccc(-n2cnc(C(=O)O)c2)cc1C#N,27.1,7.567030709
CHEMBL4552356,N#Cc1cc(-c2ncc(C(=O)O)c(=N)[nH]2)ccc1OCc1ccc(Br)cc1,27.1,7.567030709
CHEMBL1078980,Cc1cc(-c2nc(-c3ccncc3)n[nH]2)ccn1,28,7.552841969
CHEMBL4451477,O=C(O)c1cnc(-c2ccc(OCc3cccc(Cl)c3)c(-n3ccnn3)c2)[nH]c1=O,28.8,7.540607512
