Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3274335,,None,196.21,0,2.02,29,c1cc(-c2nc3cnccc3[nH]2)ccn1,IC50,'=',13000,nM,4.89,,,UO_0000065,24.9,0.44,2.87,8.97,0,CHEMBL3281896,Inhibition of bovine xanthine oxidase,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3271969,1,Scientific Literature,J Med Chem,1977,None,,,,1.3
CHEMBL1078763,,None,299.34,0,3.6,43,c1ccc(-c2cc(-c3n[nH]c(-c4ccncc4)n3)ccn2)cc1,IC50,'=',6.8,nM,8.17,,,UO_0000065,27.28,0.48,4.57,12.13,0,CHEMBL1107564,Inhibition of bovine milk XOR-mediated uric acid formation after 15 mins by spectrophotometer,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1154315,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,,6.8
CHEMBL3127139,,None,280.32,0,2.31,2,c1ccc(-c2nn3c(-c4cnccn4)nnc3s2)cc1,IC50,'=',79.43,nM,7.1,,,UO_0000065,25.33,0.48,4.79,10.31,0,CHEMBL3129613,Inhibition of bovine xanthine oxidase,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL3124800,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,7.1
CHEMBL1077387,,None,223.24,0,1.93,5,c1cncc(-c2n[nH]c(-c3ccncc3)n2)c1,IC50,'=',130,nM,6.89,,,UO_0000065,30.85,0.55,4.96,10.22,0,CHEMBL1107564,Inhibition of bovine milk XOR-mediated uric acid formation after 15 mins by spectrophotometer,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1154315,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,,130
CHEMBL5532111,,None,291.27,0,2.7,6j,CC#Cn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,IC50,'=',570,nM,6.24,,,UO_0000065,21.44,0.39,3.54,6.78,0,CHEMBL5502198,Inhibition of bovine xanthine oxidase using xanthine as substrate by measuring uric acid formation measured 30 secs interval for 5 mins by spectrophotometry analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5500369,1,Scientific Literature,Eur J Med Chem,2024,None,TIME = 0.08333 hr,INHIBITOR,,0.57
CHEMBL3703391,,None,380.4,1,5.07,BDBM153023,CC(=O)c1ccc(-c2ccc3c(c2)c(C#N)cn3-c2ccc(C(=O)O)cc2)cc1,IC50,'=',7.2,nM,8.14,,293846,UO_0000065,21.41,0.38,3.07,9.8,0,CHEMBL3706304,Inhibition Assay: Test compounds were dissolved in DMSO (Wako) at 40 mM concentration and then diluted to intended concentrations with phosphate-buffered saline (PBS). Xanthine oxidase (from bovine milk,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1684641,,None,387.23,0,3.88,20,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc2c(c1)OCO2,IC50,'=',66300,nM,4.18,,,UO_0000065,10.79,0.24,0.3,8.17,0,CHEMBL1687250,Inhibition of bovine Xanthine oxidase assessed as decrease in uric acid production preincubated at 293 nM of compound for 5 mins by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1681780,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,66.3
CHEMBL1684640,,None,412.11,1,5.45,19,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1cccc(Cl)c1Cl,IC50,'=',51700,nM,4.29,,,UO_0000065,10.4,0.25,-1.16,13.12,0,CHEMBL1687250,Inhibition of bovine Xanthine oxidase assessed as decrease in uric acid production preincubated at 293 nM of compound for 5 mins by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1681780,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,51.7
CHEMBL1209917,,None,343.22,0,4.15,15,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccccc1,IC50,'=',71300,nM,4.15,,,UO_0000065,12.08,0.27,0,12.69,0,CHEMBL1687250,Inhibition of bovine Xanthine oxidase assessed as decrease in uric acid production preincubated at 293 nM of compound for 5 mins by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1681780,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,71.3
CHEMBL1684646,,None,353.33,0,3.02,25,CC(=O)N1N=C(c2cccc([N+](=O)[O-])c2)CC1c1ccc2c(c1)OCO2,IC50,'=',76100,nM,4.12,,,UO_0000065,11.66,0.22,1.1,4.37,0,CHEMBL1687250,Inhibition of bovine Xanthine oxidase assessed as decrease in uric acid production preincubated at 293 nM of compound for 5 mins by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1681780,1,Scientific Literature,Bioorg Med Chem,2011,None,,,,76.1
